Kode_Obat,Nama_Obat,Tanggal_Pembelian,Jumlah_Unit,Harga_Pokok_Per_Unit,Total_Harga_Pokok,Stok_Akhir
OBT001,Paracetamol 500mg,2023-01-10,1000,500,500000,800
OBT001,Paracetamol 500mg,2023-04-15,500,550,275000,300
OBT002,Amoxicillin 500mg,2023-02-01,800,2000,1600000,600
OBT002,Amoxicillin 500mg,2023-06-10,400,2100,840000,200
OBT003,Omeprazole 20mg,2023-03-05,600,1500,900000,400
OBT003,Omeprazole 20mg,2023-07-20,300,1600,480000,100
OBT004,Metformin 500mg,2023-01-20,700,800,560000,500
OBT004,Metformin 500mg,2023-08-10,400,850,340000,200
OBT005,Cetirizine 10mg,2023-02-15,900,300,270000,700
OBT005,Cetirizine 10mg,2023-09-05,500,320,160000,300
OBT006,Salbutamol 4mg,2023-03-10,500,600,300000,400
OBT006,Salbutamol 4mg,2023-10-01,300,620,186000,200
OBT007,Amlodipine 5mg,2023-04-05,600,1000,600000,400
OBT007,Amlodipine 5mg,2023-11-10,400,1050,420000,200
OBT008,Simvastatin 20mg,2023-05-01,700,1200,840000,500
OBT008,Simvastatin 20mg,2023-12-05,300,1250,375000,200
OBT009,Dexamethasone 0.5mg,2023-06-15,800,400,320000,600
OBT009,Dexamethasone 0.5mg,2023-12-20,400,420,168000,300
OBT010,Vitamin C 500mg,2023-07-01,1000,200,200000,800
OBT010,Vitamin C 500mg,2023-11-15,600,220,132000,400